"CVE","Severity","Package","InstalledVersion","FixedVersion","Status","Title"
"CVE-2018-20843","HIGH","expat","2.2.6-r0","2.2.7-r0","fixed","expat: large number of colons in input makes parser consume high amount of resources, leading to DoS"
"CVE-2019-15903","HIGH","expat","2.2.6-r0","2.2.7-r1","fixed","expat: heap-based buffer over-read via crafted XML input"
"CVE-2019-12900","CRITICAL","libbz2","1.0.6-r6","1.0.6-r7","fixed","bzip2: bzip2: Data integrity error when decompressing (with data integrity tests fail)."
"CVE-2019-1543","HIGH","libcrypto1.1","1.1.1a-r1","1.1.1b-r1","fixed","openssl: ChaCha20-Poly1305 with long nonces"
"CVE-2020-1967","HIGH","libcrypto1.1","1.1.1a-r1","1.1.1g-r0","fixed","openssl: Segmentation fault in SSL_check_chain causes denial of service"
"CVE-2021-23840","HIGH","libcrypto1.1","1.1.1a-r1","1.1.1j-r0","fixed","openssl: integer overflow in CipherUpdate"
"CVE-2021-3450","HIGH","libcrypto1.1","1.1.1a-r1","1.1.1k-r0","fixed","openssl: CA certificate check bypass with X509_V_FLAG_X509_STRICT"
"CVE-2019-1543","HIGH","libssl1.1","1.1.1a-r1","1.1.1b-r1","fixed","openssl: ChaCha20-Poly1305 with long nonces"
"CVE-2020-1967","HIGH","libssl1.1","1.1.1a-r1","1.1.1g-r0","fixed","openssl: Segmentation fault in SSL_check_chain causes denial of service"
"CVE-2021-23840","HIGH","libssl1.1","1.1.1a-r1","1.1.1j-r0","fixed","openssl: integer overflow in CipherUpdate"
"CVE-2021-3450","HIGH","libssl1.1","1.1.1a-r1","1.1.1k-r0","fixed","openssl: CA certificate check bypass with X509_V_FLAG_X509_STRICT"
"CVE-2019-14697","CRITICAL","musl","1.1.20-r4","1.1.20-r5","fixed","musl libc through 1.1.23 has an x87 floating-point stack adjustment im ..."
"CVE-2019-14697","CRITICAL","musl-utils","1.1.20-r4","1.1.20-r5","fixed","musl libc through 1.1.23 has an x87 floating-point stack adjustment im ..."
"CVE-2019-8457","CRITICAL","sqlite-libs","3.26.0-r3","3.28.0-r0","fixed","sqlite: heap out-of-bound read in function rtreenode()"
"CVE-2019-19244","HIGH","sqlite-libs","3.26.0-r3","3.28.0-r2","fixed","sqlite: allows a crash if a sub-select uses both DISTINCT and window functions and also has certain ORDER BY usage"
"CVE-2019-5018","HIGH","sqlite-libs","3.26.0-r3","3.28.0-r0","fixed","sqlite: Use-after-free in window function leading to remote code execution"
"CVE-2020-11655","HIGH","sqlite-libs","3.26.0-r3","3.28.0-r3","fixed","sqlite: malformed window-function query leads to DoS"
"CVE-2019-20916","HIGH","pip","19.0.3","19.2","fixed","python-pip: directory traversal in _download_http_url() function in src/pip/_internal/download.py"
"CVE-2021-3572","HIGH","pip","19.0.3","21.1","fixed","python-pip: Incorrect handling of unicode separators in git references"
"CVE-2022-40897","HIGH","setuptools","40.8.0","65.5.1","fixed","pypa-setuptools: Regular Expression Denial of Service (ReDoS) in package_index.py"
"CVE-2024-6345","HIGH","setuptools","40.8.0","70.0.0","fixed","pypa/setuptools: Remote code execution via download functions in the package_index module in pypa/setuptools"
"CVE-2025-47273","HIGH","setuptools","40.8.0","78.1.1","fixed","setuptools: Path Traversal Vulnerability in setuptools PackageIndex"
"CVE-2022-40898","HIGH","wheel","0.33.1","0.38.1","fixed","python-wheel: remote attackers can cause denial of service via attacker controlled input to wheel cli"
